content_unit_id,knowledge_point_id,relation_type,status
ml-unit-001,ml-learning-task,primary,planned
ml-unit-002,ml-learning-paradigm,primary,planned
ml-unit-003,ml-regression,primary,planned
ml-unit-004,ml-linear-regression,primary,planned
ml-unit-005,ml-logistic-regression,primary,planned
ml-unit-006,ml-loss-function,primary,planned
ml-unit-007,ml-gradient-descent,primary,planned
ml-unit-008,ml-classification,primary,planned
ml-unit-009,ml-clustering,primary,planned
ml-unit-010,ml-ensemble,primary,planned
ml-unit-011,ml-model-selection,primary,planned
ml-unit-012,math-prob,supporting,planned
ml-unit-012,rl-discount,supporting,planned
ml-unit-012,algo-dp,supporting,planned
ml-unit-012,rl-bellman,supporting,planned
ml-unit-012,rl-mdp,supporting,planned
ml-unit-012,rl-qlearning,primary,planned
dl-unit-001,dl-linear-algebra,primary,planned
dl-unit-002,dl-probability,primary,planned
dl-unit-003,dl-linear-regression,primary,planned
dl-unit-004,dl-softmax,primary,planned
dl-unit-005,dl-mlp,primary,planned
dl-unit-006,dl-generalization,primary,planned
dl-unit-007,dl-initialization,primary,planned
dl-unit-008,dl-backprop,primary,planned
dl-unit-009,dl-convolution,primary,planned
dl-unit-010,dl-padding-stride,primary,planned
dl-unit-011,dl-pooling,primary,planned
dl-unit-012,dl-sequence,primary,planned
dl-unit-013,dl-rnn,primary,planned
dl-unit-003,dl-forward,supporting,planned
dl-unit-003,dl-loss,supporting,planned
dl-unit-005,dl-neuron,supporting,planned
dl-unit-005,dl-activation,supporting,planned
dl-unit-008,dl-backprop,primary,planned
dl-unit-008,dl-training,supporting,planned
ml-unit-013,prog-python,primary,active
ml-unit-014,prog-qtable,primary,active
